eco,opening
A00,Irregular openings
A01,Nimzowitsch–Larsen Attack
A02,Bird Opening
A03,Bird Opening: Dutch Variation
A04,Zukertort Opening
A05,King's Indian Attack
A06,Nimzo-Larsen Attack: Classical Variation
A07,Hungarian Opening: Wiedenhagen-Beta Gambit
A08,King's Indian Attack: French Variation
A09,Réti Opening
A10,English Opening
A11,English Opening: Caro-Kann Defensive System
A12,Réti Opening: Anglo-Slav Variation
A13,English Opening: Agincourt Defense
A14,"English Opening: Agincourt Defense, Keres Defense"
A15,English Opening: Anglo-Indian Defense
A16,English Opening: Anglo-Grünfeld Defense
A17,English Opening: Anglo-Indian Defense
A18,English Opening: Mikenas-Carls Variation
A19,"English Opening: Anglo-Indian Defense, Flohr-Mikenas-Carls Variation, Nei Gambit"
A20,Reversed Sicilian
A21,English Opening: King's English Variation
A22,English Opening: Carls-Bremen System
A23,"English Opening: King's English Variation, Two Knights Variation, Keres Variation"
A24,"English Opening: King's English Variation, Two Knights Variation, Fianchetto Line"
A25,"English Opening: Closed, Taimanov Variation"
A26,"English Opening: King's English Variation, Botvinnik System"
A27,"English Opening: King's English Variation, Three Knights System"
A28,"English Opening: Four Knights System, Nimzowitsch Variation"
A29,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line"
A30,Symmetrical English
A31,"English Opening: Symmetrical Variation, Anti-Benoni Variation"
A32,"English Opening: Symmetrical Variation, Anti-Benoni Variation, Spielmann Defense"
A33,"English Opening: Symmetrical Variation, Anti-Benoni Variation, Geller Variation"
A34,English Opening: Symmetrical Variation
A35,English Opening: Symmetrical Variation
A36,"English Opening: Symmetrical Variation, Botvinnik System"
A37,"English Opening: Symmetrical Variation, Botvinnik System Reversed, with Nf3"
A38,"English Opening: Symmetrical Variation, Double Fianchetto"
A39,"English Opening: Symmetrical Variation, Mecking Variation"
A40,Queen's Pawn Game
A41,Modern Defense
A42,Modern Defense: Averbakh System
A43,Benoni Defense
A44,Benoni Defense: Old Benoni
A45,Indian Defense
A46,Döry Defense
A47,Indian Defense: Schnepper Gambit
A48,East Indian Defense
A49,Indian Defense: Przepiorka Variation
A50,Indian Defense: Medusa Gambit
A51,Budapest Gambit
A52,Indian Defense: Budapest Defense
A53,Old Indian Defense
A54,Old Indian Defense: Duz-Khotimirsky Variation
A55,Old Indian Defense: Normal Variation
A56,Benoni Defense
A57,Benko Gambit
A58,Benko Gambit Accepted: Central Storming Variation
A59,Benko Gambit
A60,Modern Benoni
A61,Benoni Defense
A62,Benoni Defense: Fianchetto Variation
A63,"Benoni Defense: Fianchetto Variation, Hastings Defense"
A64,"Benoni Defense: Fianchetto Variation, Hastings Defense, Main Line"
A65,Benoni Defense: King's Pawn Line
A66,Benoni Defense: Mikenas Variation
A67,Benoni Defense: Taimanov Variation
A68,Benoni Defense: Four Pawns Attack
A69,"Benoni Defense: Four Pawns Attack, Main Line"
A70,Benoni Defense: Classical Variation
A71,"Benoni Defense: Classical Variation, Averbakh-Grivas Attack"
A72,Benoni Defense: Classical Variation
A73,"Benoni Defense: Classical Variation, Main Line"
A74,"Benoni Defense: Classical Variation, Full Line"
A75,"Benoni Defense: Classical Variation, Argentine Counterattack"
A76,"Benoni Defense: Classical Variation, Czerniak Defense"
A77,"Benoni Defense: Classical Variation, Czerniak Defense, Tal Line"
A78,"Benoni Defense: Classical Variation, Czerniak Defense"
A79,"Benoni Defense: Classical Variation, Czerniak Defense"
A80,Dutch Defense
A81,Dutch Defense: Blackburne Variation
A82,Staunton Gambit
A83,Dutch Defense: Staunton Gambit
A84,Dutch Defense
A85,Dutch Defense: Queen's Knight Variation
A86,Dutch Defense: Fianchetto Variation
A87,Dutch Defense: Leningrad Variation
A88,"Dutch Defense: Leningrad Variation, Warsaw Variation"
A89,"Dutch Defense: Leningrad Variation, Matulovic Variation"
A90,Dutch Defense: Classical Variation
A91,Dutch Defense: Classical Variation
A92,Dutch Defense: Alekhine Variation
A93,"Dutch Defense: Stonewall Variation, Botvinnik Variation"
A94,Dutch Defense: Stonewall Variation
A95,Dutch Defense: Stonewall Variation
A96,Dutch Defense: Classical Variation
A97,"Dutch Defense: Classical Variation, Ilyin-Zhenevsky Variation"
A98,"Dutch Defense: Classical Variation, Ilyin-Zhenevsky Variation, Alatortsev-Lisitsyn Line"
A99,"Dutch Defense: Classical Variation, Ilyin-Zhenevsky Variation, Modern Main Line"
B00,King's Pawn Game
B01,Scandinavian Defense
B02,Alekhine Defense
B03,Alekhine Defense
B04,Alekhine Defense: Modern Variation
B05,"Alekhine Defense: Modern Variation, Alekhine Variation"
B06,Modern Defense
B07,Pirc Defense
B08,Pirc Defense: Classical Variation
B09,Pirc Defense: Austrian Attack
B10,Caro–Kann Defense
B11,"Caro-Kann Defense: Two Knights Attack, Mindeno Variation"
B12,Caro-Kann Defense
B13,Caro-Kann Defense: Exchange Variation
B14,Caro-Kann Defense: Panov Attack
B15,Caro-Kann Defense
B16,Caro-Kann Defense: Bronstein-Larsen Variation
B17,Caro-Kann Defense: Karpov Variation
B18,Caro-Kann Defense: Classical Variation
B19,Caro-Kann Defense: Classical Variation
B20,Sicilian Defense
B21,"Bird Opening: Dutch Variation, Batavo Gambit"
B22,Alapin Sicilian
B23,Closed Sicilian
B24,Sicilian Defense: Closed
B25,Sicilian Defense: Closed
B26,Sicilian Defense: Closed
B27,Modern Defense: Pterodactyl Variation
B28,Sicilian Defense: O'Kelly Variation
B29,Sicilian Defense: Nimzowitsch Variation
B30,"Sicilian Defense: Closed, Anti-Sveshnikov Variation, Kharlov-Kramnik Line"
B31,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation"
B32,Sicilian Defense: Accelerated Dragon
B33,Sicilian Defense: Lasker-Pelikan Variation
B34,"Sicilian Defense: Accelerated Dragon, Exchange Variation"
B35,"Sicilian Defense: Accelerated Dragon, Modern Bc4 Variation"
B36,"Sicilian Defense: Accelerated Dragon, Maróczy Bind"
B37,"Sicilian Defense: Accelerated Dragon, Maróczy Bind"
B38,"Sicilian Defense: Accelerated Dragon, Maróczy Bind"
B39,"Sicilian Defense: Accelerated Dragon, Maróczy Bind, Breyer Variation"
B40,"Sicilian Defense: Alapin Variation, Sherzer Variation"
B41,Sicilian Defense: Kan Variation
B42,"Sicilian Defense: Kan Variation, Gipslis Variation"
B43,"Sicilian Defense: Kan Variation, Knight Variation"
B44,Sicilian Defense: Taimanov Variation
B45,Sicilian Defense: Four Knights Variation
B46,Sicilian Defense: Taimanov Variation
B47,"Sicilian Defense: Taimanov Variation, Bastrikov Variation"
B48,"Sicilian Defense: Taimanov Variation, Bastrikov Variation, English Attack"
B49,"Sicilian Defense: Taimanov Variation, Bastrikov Variation"
B50,Sicilian Defense
B51,Sicilian Defense: Moscow Variation
B52,"Sicilian Defense: Moscow Variation, Haag Gambit"
B53,Chekhover Sicilian
B54,"Sicilian Defense: Dragon Variation, Accelerated Dragon"
B55,"Sicilian Defense: Prins Variation, Venice Attack"
B56,Sicilian Defense: Classical Variation
B57,"Sicilian Defense: Classical Variation, Anti-Sozin Variation"
B58,Sicilian Defense: Boleslavsky Variation
B59,Sicilian Defense: Boleslavsky Variation
B60,Sicilian Defense: Richter-Rauzer Variation
B61,"Sicilian Defense: Richter-Rauzer Variation, Modern Variation"
B62,Sicilian Defense: Richter-Rauzer Variation
B63,"Sicilian Defense: Richter-Rauzer Variation, Classical Variation"
B64,"Sicilian Defense: Richter-Rauzer Variation, Classical Variation"
B65,"Sicilian Defense: Richter-Rauzer Variation, Classical Variation"
B66,"Sicilian Defense: Richter-Rauzer Variation, Neo-Modern Variation, Early Deviations"
B67,"Sicilian Defense: Richter-Rauzer Variation, Neo-Modern Variation"
B68,"Sicilian Defense: Richter-Rauzer Variation, Neo-Modern Variation"
B69,"Sicilian Defense: Richter-Rauzer Variation, Neo-Modern Variation, Nyezhmetdinov Attack"
B70,Dragon Sicilian
B71,"Sicilian Defense: Dragon Variation, Levenfish Variation"
B72,Sicilian Defense: Dragon Variation
B73,"Sicilian Defense: Dragon Variation, Classical Variation"
B74,"Sicilian Defense: Dragon Variation, Classical Variation, Alekhine Line"
B75,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Belezky Line"
B76,"Sicilian Defense: Dragon Variation, Yugoslav Attack"
B77,"Sicilian Defense: Dragon Variation, Yugoslav Attack"
B78,"Sicilian Defense: Dragon Variation, Yugoslav Attack"
B79,"Sicilian Defense: Dragon Variation, Yugoslav Attack"
B80,Scheveningen Sicilian
B81,"Sicilian Defense: Scheveningen Variation, Keres Attack"
B82,"Sicilian Defense: Scheveningen Variation, Matanovic Attack"
B83,"Sicilian Defense: Scheveningen Variation, Classical Variation"
B84,"Sicilian Defense: Najdorf Variation, Scheveningen Variation"
B85,"Sicilian Defense: Scheveningen Variation, Classical Main Line"
B86,Sicilian Defense: Sozin Attack
B87,"Sicilian Defense: Sozin Attack, Flank Variation"
B88,"Sicilian Defense: Sozin Attack, Fischer Variation"
B89,"Sicilian Defense: Sozin Attack, Main Line"
B90,Najdorf Sicilian
B91,"Sicilian Defense: Najdorf Variation, Zagreb Variation"
B92,"Sicilian Defense: Najdorf Variation, Opocensky Variation"
B93,"Sicilian Defense: Najdorf Variation, Amsterdam Variation"
B94,Sicilian Defense: Najdorf Variation
B95,Sicilian Defense: Najdorf Variation
B96,Sicilian Defense: Najdorf Variation
B97,"Najdorf Sicilian, Poisoned Pawn Variation"
B98,Sicilian Defense: Najdorf Variation
B99,"Sicilian Defense: Najdorf Variation, Main Line"
C00,French Defense
C01,French Defense: Exchange Variation
C02,"French Defense, Advance Variation"
C03,"French Defense, Tarrasch Variation"
C04,"French Defense: Tarrasch Variation, Guimard Defense, Main Line"
C05,"French Defense: Tarrasch Variation, Botvinnik Variation"
C06,"French Defense: Tarrasch Variation, Closed Variation, Main Line"
C07,"French Defense: Tarrasch Variation, Chistyakov Defense"
C08,"French Defense: Tarrasch Variation, Open System"
C09,"French Defense: Tarrasch Variation, Open System, Main Line"
C10,French Defense: Hecht-Reefschläger Variation
C11,"French Defense, Classical Variation"
C12,French Defense: McCutcheon Variation
C13,French Defense: Alekhine-Chatard Attack
C14,French Defense: Classical Variation
C15,"French Defense, Winawer Variation"
C16,"French Defense: Winawer Variation, Advance Variation"
